tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
680100725817409536,,pupper,11.0,10,1.1,3439,1301
679828447187857408,,pupper,13.0,10,1.3,34557,13256
679777920601223168,Rinna,pupper,10.0,10,1.0,2972,1037
679527802031484928,,pupper,11.0,10,1.1,2524,685
679503373272485890,Dwight,pupper,8.0,10,0.8,3026,1383
678800283649069056,,pupper,12.0,10,1.2,2446,854
678389028614488064,Bella,pupper,11.0,10,1.1,1769,395
678341075375947776,,pupper,12.0,10,1.2,1640,504
678278586130948096,,pupper,10.0,10,1.0,10854,5750
677557565589463040,,pupper,10.0,10,1.0,2321,1082
677269281705472000,,pupper,10.0,10,1.0,1863,665
676936541936185344,,pupper,8.0,10,0.8,12050,4646
676819651066732545,,pupper,12.0,10,1.2,1723,619
676617503762681856,,pupper,13.0,10,1.3,2716,894
676603393314578432,Godzilla,pupper,9.0,10,0.9,1096,358
676575501977128964,,pupper,8.0,10,0.8,2424,1047
676470639084101634,,pupper,11.0,10,1.1,10985,4378
676440007570247681,,pupper,11.0,10,1.1,1622,619
676263575653122048,,pupper,10.0,10,1.0,1971,507
675898130735476737,,pupper,10.0,10,1.0,1514,529
675853064436391936,,pupper,88.0,80,1.1,2527,1193
675845657354215424,Pepper,pupper,10.0,10,1.0,2131,813
675820929667219457,,pupper,11.0,10,1.1,983,223
675740360753160193,,pupper,12.0,10,1.2,1104,316
675432746517426176,,pupper,12.0,10,1.2,1416,530
675334060156301312,,pupper,12.0,10,1.2,2589,1197
675113801096802304,Zuzu,pupper,10.0,10,1.0,1816,728
675006312288268288,Mollie,pupper,10.0,10,1.0,910,208
674774481756377088,Superpup,pupper,11.0,10,1.1,1029,433
674737130913071104,Rufio,pupper,10.0,10,1.0,604,81
674664755118911488,Rodman,pupper,10.0,10,1.0,852,223
674638615994089473,,pupper,12.0,10,1.2,1570,540
674447403907457024,,pupper,10.0,10,1.0,991,330
674318007229923329,Lennon,pupper,8.0,10,0.8,1312,475
674262580978937856,Gus,pupper,9.0,10,0.9,1226,417
674045139690631169,,pupper,3.0,10,0.3,1310,593
674038233588723717,Kaiya,pupper,12.0,10,1.2,1029,390
673956914389192708,,pupper,10.0,10,1.0,1821,880
673919437611909120,Obie,pupper,11.0,10,1.1,1092,342
673707060090052608,Raymond,pupper,10.0,10,1.0,1027,359
673697980713705472,Pickles,pupper,8.0,10,0.8,3668,1788
673656262056419329,Albert,pupper,10.0,10,1.0,675,217
673612854080196609,Jeffri,pupper,7.0,10,0.7,1489,664
673363615379013632,,pupper,11.0,10,1.1,959,278
673342308415348736,Django,pupper,10.0,10,1.0,1183,520
673295268553605120,Eve,pupper,8.0,10,0.8,6988,2900
673148804208660480,Fletcher,pupper,8.0,10,0.8,1567,575
672988786805112832,Schnozz,pupper,10.0,10,1.0,911,266
672975131468300288,Chuckles,pupper,10.0,10,1.0,1558,824
672970152493887488,Chet,pupper,7.0,10,0.7,877,326
672898206762672129,Cheryl,pupper,11.0,10,1.1,841,387
672622327801233409,,pupper,12.0,10,1.2,1194,439
672614745925664768,Norman,pupper,6.0,10,0.6,1132,533
672594978741354496,Scott,pupper,9.0,10,0.9,1231,560
672481316919734272,Jazz,pupper,12.0,10,1.2,668,119
672254177670729728,Rolf,pupper,11.0,10,1.1,1327,681
672205392827572224,Opal,pupper,9.0,10,0.9,2082,1049
672160042234327040,Bubba,pupper,8.0,10,0.8,810,327
669993076832759809,Zoey,pupper,9.0,10,0.9,299,75
889665388333682689,,puppo,13.0,10,1.3,43492,8709
889531135344209921,Stuart,puppo,13.0,10,1.3,13781,1963
878776093423087618,Snoopy,puppo,13.0,10,1.3,17659,3593
876120275196170240,Venti,puppo,13.0,10,1.3,25502,4077
874012996292530176,Sebastian,puppo,13.0,10,1.3,31139,8969
871879754684805121,Lassie,puppo,13.0,10,1.3,34295,9646
867421006826221569,Shikha,puppo,12.0,10,1.2,14793,2220
866686824827068416,Lili,puppo,12.0,10,1.2,17736,3087
859607811541651456,,puppo,13.0,10,1.3,17372,1409
855851453814013952,,puppo,13.0,10,1.3,43187,16714
837366284874571778,Lucy,puppo,13.0,10,1.3,,
825535076884762624,,puppo,14.0,10,1.4,55676,17006
825026590719483904,Pablo,puppo,12.0,10,1.2,6116,1208
822872901745569793,,puppo,13.0,10,1.3,128465,41752
819952236453363712,Oliver,puppo,13.0,10,1.3,5203,1136
805826884734976000,Duke,puppo,12.0,10,1.2,6464,1780
803773340896923648,Diogi,puppo,12.0,10,1.2,9895,2685
802239329049477120,Loki,puppo,12.0,10,1.2,8948,2568
793195938047070209,Lily,puppo,12.0,10,1.2,15010,5501
790946055508652032,Betty,puppo,12.0,10,1.2,16392,4575
787717603741622272,Tonks,puppo,13.0,10,1.3,10086,2707
780931614150983680,,puppo,13.0,10,1.3,21187,7059
756275833623502848,,puppo,10.0,10,1.0,6182,1472
752519690950500352,,puppo,11.0,10,1.1,7123,3305
751132876104687617,Cooper,puppo,10.0,10,1.0,4899,1247
744995568523612160,Abby,puppo,9.0,10,0.9,2855,587
743253157753532416,Kilo,puppo,10.0,10,1.0,4078,1169
